date,user_id,type,value
2019-01-17T01:46:36.189Z,46,sleep,1.61540389061
2019-06-16T18:47:41.807Z,92,mood,2.0
2019-06-01T14:23:23.764Z,17,mood,2.1599998
2019-06-16T16:15:14.587Z,32,sleep,3.2
2019-01-09T14:42:15.503Z,33,sleep,0.806627750397
2019-02-07T13:21:21.465Z,59,sleep,4.0
2018-10-15T03:53:39.982Z,32,mood,2.29063653946
2018-11-26T15:45:23.248Z,78,sleep,1.8800001
2019-01-09T00:37:31.536Z,52,mood,3.68
2019-06-27T22:34:32.319Z,60,ruminationStress,2.50982069969
2018-11-27T20:05:24.998Z,33,sleep,2.92
2019-07-15T13:05:31.029Z,98,mood,3.6561312675499997
2018-10-31T14:58:15.613Z,50,anticipatoryStress,1.57761859894
2018-11-08T21:31:07.757Z,98,sleep,1.8410251140599998
2019-05-08T12:07:33.690Z,95,sleep,4.0
2018-12-15T13:16:59.405Z,97,sleep,3.12
2019-04-22T12:50:22.194Z,33,sleep,3.20152974129
2019-06-07T12:09:46.165Z,37,sleep,3.88079452515
2019-06-22T12:01:40.368Z,90,mood,2.45257425308
2018-12-08T13:35:50.135Z,82,mood,0.0
2019-04-19T17:24:58.348Z,64,mood,2.8400002
2019-07-23T17:03:57.498Z,39,sleep,2.0
2019-04-15T13:36:46.506Z,90,sleep,1.8800001
2018-11-17T16:00:44.969Z,42,sleep,3.53411054611
2018-10-14T01:03:22.257Z,52,sleep,2.52
2018-12-19T13:19:57.200Z,10,mood,0.986011266708
2019-03-24T15:08:09.248Z,46,sleep,0.5999999
2019-01-01T14:03:21.519Z,33,sleep,0.5999999
2019-06-07T13:05:07.677Z,58,mood,2.72
2018-09-10T14:51:21.399Z,46,sleep,0.76
2019-01-30T14:30:52.230Z,26,mood,1.8399999
2019-04-18T20:10:53.712Z,66,ruminationStress,1.16426920891
2018-11-09T13:23:41.242Z,52,ruminationStress,0.0
2019-01-25T09:18:03.321Z,18,mood,3.8
2018-11-25T20:19:44.827Z,72,anticipatoryStress,2.0
2019-06-22T00:31:32.563Z,97,mood,1.04
2018-10-07T17:05:18.499Z,52,mood,1.52
2018-10-28T16:32:44.369Z,32,mood,2.4663372039800002
2019-05-03T13:35:44.605Z,53,sleep,3.6399998999999994
2018-11-13T13:46:18.146Z,64,sleep,0.0
2019-01-06T19:29:01.575Z,68,sleep,4.0
2019-06-14T20:49:29.826Z,83,mood,1.48
2018-11-14T22:25:31.037Z,42,sleep,1.52
2019-06-22T12:24:14.348Z,17,mood,3.0
2018-11-14T01:58:26.218Z,76,mood,2.0
2018-10-02T16:55:06.656Z,52,mood,1.8
2019-03-16T23:00:48.308Z,66,mood,2.0
2018-10-16T01:18:22.858Z,34,sleep,1.8800001
2019-04-14T12:05:53.548Z,90,mood,3.0
2019-04-07T15:38:10.152Z,92,sleep,4.0
2019-04-24T16:28:08.491Z,48,mood,1.0604224205
